,Category,Sentence
166,1,Trying to make a head or end of story in the hip-hop indie snipes is enough to strain the brain - and the benefits are negligible.
167,0,"-LRB- Not so much a film as -RRB- a horrible, fragrant thing... so rotten in almost every facet of the production that you want to crawl in embarrassment."
168,0,Dark boring sci-fi comedy.
169,1,Just because A Walk to Remember is clever enough to activate girlish tear gas canals doesn't mean it's good enough for our girls.
170,1,"If I want music, I buy the soundtrack."
171,2,You could put it anywhere on the coffee table.
172,3,Reno itself accounts for most of the film's success.
173,0,"I'm not sure what will take longer to heal: the world on Johnny Knoxville's belly from a counter-insurgency projectile, or my own tortured psyche."
174,2,"Apart from being an acting exercise or an unusually dark joke, one wonders what anyone has seen in the film that made it."
175,1,The romance between the lead actors is not as convincing or believable as it should be.
176,3,Can do it without much storytelling.
177,4,"It's just a joy to watch and, above all, to listen."
178,0,She tries aimlessly and unsuccessfully to merge at least three boring plots into one good one.
179,3,That's what makes Sex and the City so alluring.
180,2,"As Allen's execution date draws to a close, the documentary paints a particularly poignant portrait of her friendship with the never-ending court investigator David Presson."
181,2,Or a pooch winks.
182,1,This 100-minute film has only about 25 minutes of decent material.
183,3,"Gooding is the energetic frontman, and it's hard to resist his enthusiasm, even if the filmmakers don't come up with anything original in the form of slapstick sequences."
184,2,... a preachy parable stylized with a touch of John Woo Ball ballet.
185,2,"Massoud's story is an epic, but also a tragedy, the story of a tenacious, humane fighter who was both a prisoner (LRB) and ultimately a victim (RRB) of history."
186,2,It does not seem to get anywhere near the heart of the story.
187,1,This could be the first cartoon ever to appear on the projection screen of a sports bar.
188,2,"Shadyac, who is one of the damned who committed the crime, trots out every ghost trick from The Sixth Sense to The Mothman Prophecies."
189,0,The film is really everywhere.
190,1,"If you're looking for your own caddyshack as a generational signpost, you may have to look further."
191,3,"So entertaining that you don't even notice it's a pretty straightforward remake of Hollywood comedies like ""Father of the Bride."""
192,4,"Clever, cheeky interpretation of the Oscar Wilde play."
193,0,"The secrets of time travel will have been discovered, enjoyed and dismissed as boring, before I see this piece of crap again."
194,0,This is practically impossible to observe.
195,0,"Given that practically no one has to go to the theatre for this, the project should have been made for the tube."
196,3,"Screenwriter and director Burr Steers emphasizes the Q in Quirky, with mixed results."
197,1,But no.
198,3,That is quite a vision.
199,3,"The real star of this film is the score, as in the songs, which can be transferred well to the film, and it is really well staged."
200,1,A potentially good comedic premise and an excellent cast are terribly wasted.
201,2,Maelstrom is a deliberately unstable mix of stylistic elements.
202,1,"Although the film boasts a strong cast and some strong supporting actors, the story - like its central character, Vivi - is just a bit hard to love."
203,2,A bunch of typical late-night twentysomethings hear nothing
204,4,It's the kind of effectively creepy-creepy thriller that sometimes fixes you in a far corner of the screen because nerves just can't stand it anymore.
205,2,"Has all the right elements, but completely fails to interact."
206,0,It constantly slips out of the grasp of its Creator.
207,2,It tells its story flat and leaves the impression that you should have got more out of it than you did.
208,3,"Skin Of Man gets a few cheap shocks from its children-in-danger theatres, but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults."
209,1,"Boasts a sensational art direction, but has a powerfully quirky tone that quickly exhausts its limited welcome culture."
210,4,"As an actress, Madonna is one of the most successful singers in the world."
211,1,"At a time when we have learned the hard way how complex international terrorism is, Collateral Damage paints an absurdly simplistic picture."
212,0,"""The Adventures of Pluto Nash"" is a big stinker."
213,2,Go.
214,3,"a bilingual charmer, just like the woman who inspired him"
215,4,A fascinating case study on the liberation of flower power - and the price paid for it.
216,0,"Instead of drawing laughs, Lawrence unleashes his typical misogyny - er, comedy - like a human volcano or a overflowing septic tank."
217,3,"A vivid, sometimes surreal insight into the secrets of human behaviour."
218,2,"The results, though not memorable, are at least interesting."
219,2,Please.
220,0,"The actors make an effort, but come across as amateurish and clumsy."
221,0,"Like many such biographical melodramas, she suffers from the awkwardness that comes from clinging to the clutter of true stories."
222,1,Humor in I Spy is so anemic.
223,4,One of the strangest and most unpredictable character pieces of the year.
224,0,A pathetic exploitation film that tries to appear sincere and just seems worse for wear.
225,1,As original and revealing as the last episode of Behind the Music.
226,0,... you can be forgiven for spending the last 20 minutes looking at your watch and waiting for Frida to die.
227,2,This English-language version... does justice to Miyazaki's teeming and often disturbing landscape and the conflicted complexity of his characters.
228,3,A quiet family drama with a little romance and a dose of darkness.
229,3,Old-fashioned but thoroughly satisfying entertainment.
230,0,Absurdities and clichés pile up like lint in a fat man's belly button.
231,1,"In the end, Sarah's dedication to finding her husband seems more psychotic than romantic, and nothing in the film convincingly suggests that a woman's broken heart outweighs the loss we experience."
232,2,"Since Eight Legged Freaks is partly a homage to Them, Tarantula and other low-budget B-movie thrillers of the 1950s and 1960s, the film is a silly -LRB- but not secondary -RRB- romp through horror and hellish conditions."
233,0,"In order to better understand why this was not in contact with me, it would require further consideration and I would not sit through it again... that in itself is a comment enough."
234,4,"A colourful, lively introduction to a universal human impulse, lavishly photographed and beautifully captured."
235,0,"The cheesiest monsters on this page of a horror parody, which they are not, are more likely to cause sleep than fear."
236,2,"The dramatic crisis does not always succeed in being taken seriously, but Huppert's erratic performance makes for a captivating cinematic experience."
237,0,One waits in vain for 100 minutes for a film.
238,3,"More good than good, but Freeman and Judd make it possible."
239,3,Takashi Miike keeps up the pace: Ichi the killer
240,3,"Although it goes further than both, anyone who has seen The Hunger or Cat People will find little new here, but a delicious performance by Vincent Gallo elevates this tale of cannibalistic lust beyond the ordinary."
241,1,"City by the Sea fluctuates from approach to approach throughout the film, but in the end it stays in formula - a waste of De Niro, McDormand and the cast's other good actors."
242,3,Meyjes' provocative film could be called an example of the haphazard nature of evil.
243,1,Credibility was not one of the film's virtues.
244,2,It's just that the Shakespeare parallels don't go far enough.
245,3,Miller has written a fascinating story of maternal instincts and misguided acts of affection.
246,1,The length of the film... burdens the concept of the series.
247,4,"We admire this film for its rigorous objectivity and its refusal to seek our tears, our compassion."
248,3,It's a sharp film about otherwise boring topics.
249,0,"A boring, somnambulant exercise in presumption, the piercing calm of which is interrupted by frequent outbursts of violence and noises."
250,4,"If you're a fan of the show, you'll love it and probably want to see it twice."
251,1,... silly humbug...
252,1,The setting turns out to be more interesting than any of the character dramas that never reach satisfactory conclusions.
253,4,"Hugh Grant, who has a good line in charm, has never been more charming than in About a Boy."
254,4,Brian Tufano's beautiful widescreen photography and Paul Grabowsky's excellent music make this rather blinkered melodrama very special.
255,2,De Niro is crying.
256,2,"The result is depressing rather than liberating, but it never gets boring."
257,3,A very good film sits where a masterpiece should be.
258,0,"No fuss, nothing new to see, zero thrills, too many flashbacks and a bumpy ending make for a bad film."
259,2,"Davis has energy, but she doesn't bother to make her heroine's book sound convincing, the ideas about gender war original, or the comic scenes flying."
260,2,"Many shallower films seem too long these days, but this one is terribly short."
261,3,Nicholson talks about Schmidt.
262,3,A film of silent power.
263,3,Here's another cool crime film that actually manages to bring something new into the mix.
264,4,An intelligently crafted -LRB- and beautifully edited -RRB- image that brings at least a spark of life - more than can be said for many films that flow smoothly through the Hollywood pipeline.
265,3,"Apart from the deflationary ending, there is much to recommend the film."
266,1,"An obvious copy of one of the best films ever made, how could it not be?"
267,3,This film made me smile.
268,2,"Bacon keeps things interesting, but don't go out of your way to pay the full price."
269,3,"Well, it's probably not like you're swinging from the trees, but it's definitely worth a look."
270,3,"Famuyiwa's feature deals with the subject in a tasteful and intelligent way, rather than forcing us to endure every plot trick the clichéd genre has to offer."
271,4,Surprisingly powerful and universal.
272,3,... an interesting piece of history.
273,3,"No worse film than Breaking Out, and Breaking Out was absolutely charming."
274,0,"Madonna has fallen over so many times now that there seems to be nothing left to work on, like Michael Jackson's nose."
275,3,"Ridiculous, but director Carl Franklin adds enough blossom and freshness to make it entertaining."
276,3,It's unlikely we'll see a better thriller this year.
277,4,"-LRB- Cuarón has created a substantial film out of several clichéd film structures: the road movie, the coming-of-age movie and the teen sex comedy."
278,4,"It's an intelligent, solid, kinetically charged spy film that deserves a few hours of daylight saving time and a bucket of popcorn."
279,4,"A wild ride with breathtaking action sequences, striking villains, a gorgeous color palette, amazing technology, rousing music and a last-hour boffo that leads to a strangely sinister happy ending."
280,1,Decent but boring.
281,2,"But if you paid for a matinee and bought a big tub of popcorn, you're having innocent fun."
282,1,What should have been a painless time-killer instead turns into a crackling endurance test.
283,2,"But as well-acted and well-intentioned as All or Nothing is, the film comes dangerously close to being too gloomy, too pessimistic and too unshakeable for its own good."
284,1,A pitifully nonsensical and unimaginative cross between XXX and Vertical Limit.
285,0,You see the film and think: zzzzzzzzz.
286,1,"Although it's easier to get your way than most of Jaglom's confident and thankfully irritating films, it's still stained by clichés, painful improbability and bleak points."
287,1,"With such an unpredictable company, the suspicion arises that it was improvised on a daily basis during production."
288,4,Piccoli gives an excellent performance full of deep feelings.
289,4,"-LRB- Ramsay -RRB- visually transforms the bleak vastness of the cul-de-sac in which the characters live into a poem of art, music and metaphor."
290,1,A lithe advertisement for youthful anomie that never quite matches the sum of its claims.
291,2,"It comes with an impeccable pedigree, mongrel pep and almost indecipherable plot complications."
292,1,A portrait of alienation so perfect that it is sure to alienate most viewers.
293,0,"I went up to the usher and said that if she had to sit down again, she should ask for an increase."
294,0,Coated with tasteless B-movie scum.
295,1,I can't say this enough: this film is about a grown man in pink jammies.
296,1,"... the whole enterprise has a choppy, superficial feeling."
297,1,... a rather bland affair.
298,3,"""Brown Sugar"" ""aspires admirably to be more than just another"" Best Man ""clone, weaving a theme through this funny film."
299,1,The film is not as terrible as the synergistic impulse that spawned it.
300,4,"If the primary purpose of a horror film is to scare and unsettle, it works spectacularly well... A scary, nerve-racking ride."
301,1,An imponderably stilted and self-consciously artistic film.
302,0,A cooler without chills.
303,3,A comedy that moves and moves in the rhythm of life.
304,0,A yawning empty farm melodrama.
305,2,It's time to let your hair down - in Greek style.
306,4,"""Simone"" is a witty and funky look at an artificial creation in a world that thrives on artificiality."
307,3,Explodes -LRB- headbanger -RRB- stereotypes with lots of fun and adds a bit of heart and disturbing themes.
308,0,"We began to wonder if... some unpaid intern had just typed ""Chris Rock,"" ""Anthony Hopkins"" and ""Terrorists"" into some Univac-like script machine."
309,3,A charmer from Belgium.
310,2,"Directors John Musker and Ron Clements, the team behind The Little Mermaid, have produced sparkling retinal candy, but they are unable to muster much emotional resonance in the cold vacuum of space."
311,1,My advice is to skip the movie and record the soundtrack.
312,3,K 19 keeps itself afloat as a proper action flick
313,1,"As if Drop Dead Gorgeous wasn't enough, this equally mocking clan is fixated on the spectacle of small-town competition."
314,0,What more can you expect from a college comedy whose target audience has no high school diploma?
315,4,That is a good thing.
316,3,The film grows on one.
317,0,"Please, someone, stop Eric Schaeffer before he makes another movie."
318,4,"With each of her three protagonists, Miller eloquently captures the moment when a woman's life begins to shift from a deep-seated emotional need to a different path."
319,1,"Although this rude and crude film makes for a few laughs, its digs at modern society are all things we've seen before."
320,4,A terrific B-movie - indeed the best of the recent past.
321,2,Gone are the flamboyant mannerisms that are the hallmark of some of his performances.
322,3,Take a 12-year-old boy to see this picture and he will be your slave for a year.
323,3,This film made me smile.
324,4,Bogdanovich delves deep into the Hearst mysticism and entertainingly stages a historical scandal.
325,3,"The drama of temptation, salvation and good intentions is a thoughtful examination of faith, love and power."
326,0,"So it's like a relic from a bygone era, and its entanglements... feel silly rather than plausible."
327,1,"Like Schindler's List, The Grey Zone tries to be grandiose, but in the end it becomes pretentious - in a cruel way."
328,1,"Cherry Orchard is poorly edited, often clumsily staged, and suffers from the addition of a wholly unnecessary preview sequence, intended to give some of the characters a ""back story."""
329,1,"The script by James Eric, James Horton and director Peter O'Fallon... is so clapped-out that your teeth hurt."
330,4,A brutal and funny work.
331,2,It depends on how well flatulence fits into the holiday concept.
332,0,"An ugly, senseless, stupid film."
333,4,Greg Kinnear gives a mesmerising performance as a full-fledged sex addict who completely denies his obsessive behaviour.
334,2,"Lohman adapts to the changes demanded of her, but actor-director Peter Kosminsky never gets the audience to break through the wall her character erects."
335,1,"This is a comedy as lax and limp as I've known it for a while, a wobble through worn-out material."
336,0,-LRB- L -RRB- unnecessary.
337,4,Well cast and well staged - a powerful drama with enough sardonic wit not to tear it apart.
338,3,To be continued.
339,2,"Schnitzler's film has a big hook, a few clever sayings and well-drawn, if standard characters, but is still only partially satisfying."
340,0,MIB II is a film that allows the viewer to snooze for a few minutes or make several runs to the concession stand and / or the toilet and not feel like he has missed something.
341,3,Those who are inclined to revolt do not have to apply; those who are inclined to blue hilarity immediately appear.
342,4,"A very clever and subtle film, which captures the precarious balance between the extravagant confidence of the exile aristocracy and the cruel seriousness of the victorious revolutionaries."
343,2,"Jones helps breathe some life into the insubstantial plot, but even he is overwhelmed by predictability."
344,3,"Ramsay succeeds primarily with her typical blend of unsettling atmosphere and delivers a series of abrasive, stylized sequences that burn into the viewer's memory."
345,2,"In addition to his own considerable achievement, Metropolis confirms Tezuka's status as the primary visual influence on the anime tradition and its defining philosophical conscience."
346,0,Kung Pow seems like a futile concoction that was hastily developed after Oedekerk and his film colleagues survived a college barrel party.
347,1,"Clever, but pointless."
348,3,"Standing by Yourself is haunting... -LRB- It's -RRB- what punk rock music used to be and what the video footage could use more of: spirit, perception, conviction."
349,3,"A suffocating horror show about rape and repayment, about the subgenre's most capable victim... and an exuberant fondness for industrial-style meat freezers."
350,0,I hate the feeling of being slimmed down in the name of high art.
351,1,One gets the impression that writer-director Burr Steers knows the terrain... but his humor hasn't lost the smug complacency usually associated with the better private schools.
352,4,A damn good film and a truly distinctive and deeply relevant one.
353,3,"It succeeds where its most recent predecessor fails miserably, because it requires both sides to endure the horrors of war."
354,3,Viva le Resistance!
355,3,A surprisingly solid performance from director Malcolm D. Lee and writer John Ridley.
356,4,"One of the best silly horror films of recent times, with some real shocks for careless viewers."
357,0,"Loud, silly, stupid and pointless."
358,3,"A sweet, tender sermon about a 12-year-old Welsh boy who is more curious about God than a girl who learns that faith in something matters."
359,2,Your stomach for heaven depends largely on your appetite for canned corn.
360,3,"Rock-solid family fun at the gates, extremely imaginative through and through, but lets down in the middle"
361,3,Much more dimensional and complex than the sunny disposition would suggest.
362,2,"If a few good men told us that we couldn't deal with the truth, ""then at one point in this film, High Crimes poetically tells us that we don't care about the truth."" """
363,4,"Schepisi, supported by a cast that seems to include every first-rate British actor who did not appear in Gosford Park -LRB- and one, Mrs. Mirren, the -RRB-, exceeded all expectations."
364,0,"If this is not an indication that something is going terribly wrong, nothing will happen."
365,3,"Restrained but exhilarating, with really solid performances from Ving Rhames and Wesley Snipes."
366,1,"Barney's ideas of creation and identity don't seem too profound, at least if you look at what you can gather from this three-hour endurance test, which was built up from about an hour of actual material."
367,1,This is not an easy film.
368,2,"... the only thing this wild film has that other Imax films do not have: chimpanzees, lots of chimpanzees, all inflated to the size of a house."
369,3,"Fessenden cherishes his metaphors at the expense of his narrative, but he shows an original talent."
370,0,The Sweetest Thing is specifically aimed at idiots who don't care what kind of sewage they shovel into their mental oesophagus to simulate food.
371,2,Comedy makes social commentary more palatable.
372,1,"The sequel plays like a spurious excuse to give Blade fans another look at Wesley Snipes' iconic hero, who fights with dozens of villains at once."
373,3,"When I watched the movie Powerpuff Girls, I always remembered an anecdote by comparison: the cartoon in Japan that gave people seizures."
